func39
Integration time [ms]: 6000,000
Averaging Nr. [scans]: 3
Smoothing Nr. [pixels]: 2
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 900,12;    0,000;    0,000;    0,000; 0,00000
 903,33; 6707,667; 6392,333; 6602,000;315,33333
 906,55; 6594,467; 6416,933; 6549,600;177,53333
 909,76;11168,933;10925,533;11102,867;243,40000
 912,97;11050,667;10807,867;10998,467;242,80000
 916,19;10578,067;10331,867;10540,733;246,20000
 919,40; 9673,667; 9427,733; 9618,200;245,93333
 922,62;10819,400;10495,533;10734,133;323,86667
 925,83; 7704,133; 7372,133; 7614,667;332,00000
 929,04; 8495,533; 8138,333; 8373,533;357,20000
 932,25; 9113,867; 8710,200; 8937,267;403,66667
 935,47; 7595,400; 7183,467; 7430,733;411,93333
 938,68; 8800,867; 8359,133; 8617,667;441,73333
 941,89; 9917,200; 9437,267; 9714,667;479,93333
 945,10; 8590,067; 8078,333; 8367,800;511,73333
 948,31; 8251,667; 7663,333; 7962,267;588,33333
 951,52; 9207,333; 8542,333; 8832,533;665,00000
 954,73; 8073,267; 7338,933; 7616,800;734,33333
 957,94; 6965,600; 6074,667; 6331,467;890,93333
 961,15; 8776,600; 7667,800; 7916,733;1108,80000
 964,36; 8003,667; 6580,000; 6840,467;1423,66667
 967,57; 9189,000; 7258,467; 7518,333;1930,53333
 970,78;12256,800; 9528,133; 9780,600;2728,66667
 973,99;13508,533; 9588,200; 9836,000;3920,33333
 977,20;14912,800; 9066,600; 9300,667;5846,20000
 980,41;19577,733;10796,333;10992,467;8781,40000
 983,62;24008,800;10809,400;11015,867;13199,40000
 986,82;30358,267;11239,933;11463,000;19118,33333
 990,03;34828,400; 9980,800;10162,133;24847,60000
 993,24;42554,667;10054,533;10239,533;32500,13333
 996,44;49348,667; 9537,400; 9745,667;39811,26667
 999,65;55615,933;10793,067;10971,200;44822,86667
1002,86;55011,200; 7052,800; 7174,667;47958,40000
1006,06;59285,600; 9665,333; 9840,333;49620,26667
1009,27;55752,733; 9249,333; 9419,733;46503,40000
1012,47;49236,200; 8514,133; 8670,600;40722,06667
1015,68;41087,267; 6889,800; 7060,267;34197,46667
