Sample:	'CPE45_PFOBPy_comocat
File name:	CPE45_PFOBPy_comocat.UDS
Run Date:	15:07:27, 01/28/2022
Operator:	praca
Comment:	'

Instrument
Model:	U-2900 Spectrophotometer
Serial Number:	'1903-009
ROM Version:	2J15301 01

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	1100.0 nm
Ending Wavelength:	400.0 nm
Scan Speed:	400 nm/min
Sampling Interval:	1.0 nm
Slit Width:	1.50 nm
Lamp change mode:	Auto
Auto change wavelength:	340.0 nm
Baseline Correction:	User 1
Wait time:	0 s
Cycle Time:	54 min
Replicates:	1
Response:	Medium
Path Length:	10.0 mm
(Abs values are corrected to 10 mm path length)

Data Points
nm	Abs
1100.0	0.0420
1099.0	0.0420
1098.0	0.0419
1097.0	0.0418
1096.0	0.0417
1095.0	0.0416
1094.0	0.0415
1093.0	0.0415
1092.0	0.0414
1091.0	0.0413
1090.0	0.0413
1089.0	0.0412
1088.0	0.0412
1087.0	0.0412
1086.0	0.0412
1085.0	0.0412
1084.0	0.0412
1083.0	0.0413
1082.0	0.0413
1081.0	0.0414
1080.0	0.0414
1079.0	0.0416
1078.0	0.0417
1077.0	0.0419
1076.0	0.0421
1075.0	0.0423
1074.0	0.0426
1073.0	0.0428
1072.0	0.0431
1071.0	0.0435
1070.0	0.0440
1069.0	0.0444
1068.0	0.0448
1067.0	0.0452
1066.0	0.0455
1065.0	0.0457
1064.0	0.0460
1063.0	0.0461
1062.0	0.0462
1061.0	0.0463
1060.0	0.0463
1059.0	0.0463
1058.0	0.0463
1057.0	0.0462
1056.0	0.0462
1055.0	0.0462
1054.0	0.0462
1053.0	0.0463
1052.0	0.0463
1051.0	0.0464
1050.0	0.0466
1049.0	0.0467
1048.0	0.0469
1047.0	0.0471
1046.0	0.0473
1045.0	0.0475
1044.0	0.0476
1043.0	0.0478
1042.0	0.0480
1041.0	0.0481
1040.0	0.0484
1039.0	0.0487
1038.0	0.0491
1037.0	0.0495
1036.0	0.0500
1035.0	0.0505
1034.0	0.0512
1033.0	0.0519
1032.0	0.0526
1031.0	0.0534
1030.0	0.0543
1029.0	0.0552
1028.0	0.0562
1027.0	0.0571
1026.0	0.0578
1025.0	0.0582
1024.0	0.0584
1023.0	0.0583
1022.0	0.0582
1021.0	0.0580
1020.0	0.0579
1019.0	0.0580
1018.0	0.0582
1017.0	0.0585
1016.0	0.0589
1015.0	0.0592
1014.0	0.0595
1013.0	0.0598
1012.0	0.0601
1011.0	0.0603
1010.0	0.0605
1009.0	0.0606
1008.0	0.0607
1007.0	0.0608
1006.0	0.0610
1005.0	0.0612
1004.0	0.0615
1003.0	0.0619
1002.0	0.0624
1001.0	0.0628
1000.0	0.0632
999.0	0.0635
998.0	0.0637
997.0	0.0638
996.0	0.0638
995.0	0.0636
994.0	0.0633
993.0	0.0630
992.0	0.0625
991.0	0.0620
990.0	0.0615
989.0	0.0610
988.0	0.0604
987.0	0.0598
986.0	0.0592
985.0	0.0588
984.0	0.0583
983.0	0.0580
982.0	0.0577
981.0	0.0575
980.0	0.0573
979.0	0.0572
978.0	0.0571
977.0	0.0569
976.0	0.0567
975.0	0.0565
974.0	0.0564
973.0	0.0562
972.0	0.0561
971.0	0.0560
970.0	0.0559
969.0	0.0558
968.0	0.0557
967.0	0.0556
966.0	0.0555
965.0	0.0555
964.0	0.0554
963.0	0.0553
962.0	0.0552
961.0	0.0551
960.0	0.0551
959.0	0.0550
958.0	0.0550
957.0	0.0549
956.0	0.0548
955.0	0.0548
954.0	0.0548
953.0	0.0548
952.0	0.0548
951.0	0.0548
950.0	0.0549
949.0	0.0550
948.0	0.0551
947.0	0.0552
946.0	0.0553
945.0	0.0554
944.0	0.0555
943.0	0.0556
942.0	0.0558
941.0	0.0559
940.0	0.0561
939.0	0.0564
938.0	0.0567
937.0	0.0569
936.0	0.0571
935.0	0.0572
934.0	0.0574
933.0	0.0575
932.0	0.0576
931.0	0.0577
930.0	0.0578
929.0	0.0580
928.0	0.0582
927.0	0.0585
926.0	0.0589
925.0	0.0595
924.0	0.0601
923.0	0.0609
922.0	0.0618
921.0	0.0627
920.0	0.0635
919.0	0.0643
918.0	0.0649
917.0	0.0652
916.0	0.0652
915.0	0.0651
914.0	0.0648
913.0	0.0646
912.0	0.0643
911.0	0.0641
910.0	0.0638
909.0	0.0634
908.0	0.0630
907.0	0.0625
906.0	0.0618
905.0	0.0610
904.0	0.0601
903.0	0.0591
902.0	0.0580
901.0	0.0571
900.0	0.0562
899.0	0.0553
898.0	0.0546
897.0	0.0540
896.0	0.0536
895.0	0.0532
894.0	0.0529
893.0	0.0526
892.0	0.0524
891.0	0.0524
890.0	0.0524
889.0	0.0527
888.0	0.0531
887.0	0.0536
886.0	0.0543
885.0	0.0551
884.0	0.0559
883.0	0.0567
882.0	0.0576
881.0	0.0583
880.0	0.0589
879.0	0.0593
878.0	0.0595
877.0	0.0595
876.0	0.0591
875.0	0.0586
874.0	0.0577
873.0	0.0567
872.0	0.0555
871.0	0.0543
870.0	0.0531
869.0	0.0519
868.0	0.0508
867.0	0.0499
866.0	0.0490
865.0	0.0482
864.0	0.0475
863.0	0.0469
862.0	0.0464
861.0	0.0459
860.0	0.0455
859.0	0.0452
858.0	0.0449
857.0	0.0446
856.0	0.0444
855.0	0.0442
854.0	0.0440
853.0	0.0438
852.0	0.0436
851.0	0.0434
850.0	0.0432
849.0	0.0431
848.0	0.0429
847.0	0.0428
846.0	0.0427
845.0	0.0426
844.0	0.0425
843.0	0.0425
842.0	0.0424
841.0	0.0422
840.0	0.0421
839.0	0.0420
838.0	0.0419
837.0	0.0418
836.0	0.0417
835.0	0.0416
834.0	0.0414
833.0	0.0413
832.0	0.0411
831.0	0.0410
830.0	0.0409
829.0	0.0408
828.0	0.0406
827.0	0.0405
826.0	0.0404
825.0	0.0403
824.0	0.0402
823.0	0.0401
822.0	0.0400
821.0	0.0399
820.0	0.0398
819.0	0.0398
818.0	0.0397
817.0	0.0396
816.0	0.0396
815.0	0.0395
814.0	0.0395
813.0	0.0394
812.0	0.0393
811.0	0.0393
810.0	0.0392
809.0	0.0392
808.0	0.0392
807.0	0.0391
806.0	0.0390
805.0	0.0389
804.0	0.0389
803.0	0.0388
802.0	0.0388
801.0	0.0387
800.0	0.0387
799.0	0.0386
798.0	0.0386
797.0	0.0385
796.0	0.0385
795.0	0.0384
794.0	0.0384
793.0	0.0384
792.0	0.0384
791.0	0.0384
790.0	0.0383
789.0	0.0383
788.0	0.0383
787.0	0.0383
786.0	0.0384
785.0	0.0383
784.0	0.0383
783.0	0.0383
782.0	0.0383
781.0	0.0383
780.0	0.0383
779.0	0.0383
778.0	0.0383
777.0	0.0383
776.0	0.0383
775.0	0.0383
774.0	0.0383
773.0	0.0383
772.0	0.0383
771.0	0.0383
770.0	0.0384
769.0	0.0384
768.0	0.0384
767.0	0.0385
766.0	0.0385
765.0	0.0385
764.0	0.0385
763.0	0.0385
762.0	0.0386
761.0	0.0387
760.0	0.0386
759.0	0.0384
758.0	0.0381
757.0	0.0380
756.0	0.0381
755.0	0.0381
754.0	0.0382
753.0	0.0383
752.0	0.0384
751.0	0.0384
750.0	0.0384
749.0	0.0384
748.0	0.0383
747.0	0.0383
746.0	0.0383
745.0	0.0382
744.0	0.0382
743.0	0.0383
742.0	0.0383
741.0	0.0383
740.0	0.0382
739.0	0.0382
738.0	0.0383
737.0	0.0382
736.0	0.0381
735.0	0.0381
734.0	0.0380
733.0	0.0380
732.0	0.0379
731.0	0.0378
730.0	0.0378
729.0	0.0378
728.0	0.0378
727.0	0.0378
726.0	0.0378
725.0	0.0379
724.0	0.0380
723.0	0.0380
722.0	0.0381
721.0	0.0383
720.0	0.0384
719.0	0.0385
718.0	0.0386
717.0	0.0386
716.0	0.0387
715.0	0.0387
714.0	0.0386
713.0	0.0385
712.0	0.0384
711.0	0.0384
710.0	0.0383
709.0	0.0382
708.0	0.0381
707.0	0.0380
706.0	0.0379
705.0	0.0379
704.0	0.0379
703.0	0.0378
702.0	0.0378
701.0	0.0378
700.0	0.0377
699.0	0.0377
698.0	0.0377
697.0	0.0377
696.0	0.0377
695.0	0.0377
694.0	0.0377
693.0	0.0376
692.0	0.0376
691.0	0.0376
690.0	0.0376
689.0	0.0376
688.0	0.0376
687.0	0.0377
686.0	0.0377
